family,memory_heap_alloc,network_received_bytes,network_transmitted_bytes,api_crypto_calls
congur,30007,0,0,0
lockscreen,5096,0,0,0
smsspy,22081,2867,9367,0
slocker,12169,0,0,0
jisut,15256,0,0,0
slocker,20285,0,0,0
slocker,7518,0,0,0
jisut,28210,0,0,0
congur,15034,0,0,4
lockscreen,21471,0,0,9
jisut,25244,0,0,0
slocker,12307,0,0,0
slocker,7269,0,0,0
<unknown>,6259,0,0,0
slocker,19639,0,0,0
slocker,11790,0,0,0
slocker,15979,0,0,4
jisut,16621,0,0,11
slocker,5902,0,0,772
slocker,22337,0,0,25
congur,23528,0,0,220
slocker,12425,0,0,0
slocker,7412,0,0,0
slocker,16290,0,0,0
smsspy,6194,0,0,0
slocker,24095,0,0,4
jisut,12073,0,0,0
lockscreen,21090,0,0,126
lockscreen,13595,0,0,0
jisut,13492,0,0,0
smsspy,6111,0,0,0
smsspy,18959,0,0,0
slocker,11606,0,0,0
slocker,8463,0,0,0
congur,15207,0,0,4
slocker,19153,0,0,0
slocker,12371,0,0,0
congur,12895,0,0,0
slocker,14327,0,0,0
lockscreen,35024,0,0,0
congur,16091,0,0,0
lockscreen,26400,0,0,0
slocker,9120,0,0,591
congur,7403,0,0,0
smsspy,12984,40,480,8
<unknown>,11770,0,0,0
jisut,5672,0,0,0
lockscreen,6838,0,0,0
jisut,16495,0,0,0
slocker,16511,0,0,0
<unknown>,16147,0,0,0
slocker,17227,0,0,0
slocker,12278,0,0,0
slocker,15567,0,0,4
<unknown>,27312,0,0,0
smsspy,13429,0,0,0
slocker,12116,0,0,0
slocker,13019,0,0,0
slocker,20277,0,0,37
jisut,26287,0,0,0
lockscreen,27411,0,0,0
slocker,29732,0,0,0
jisut,14720,0,0,0
smsspy,8730,0,0,935
slocker,12172,0,0,0
<unknown>,16109,0,0,0
lockscreen,23586,0,0,172
smsspy,25700,0,0,0
slocker,12874,0,0,0
jisut,18074,0,0,0
jisut,16475,0,0,0
slocker,9018,0,0,0
slocker,12323,0,0,0
slocker,16783,0,0,4
slocker,7319,0,0,0
smsspy,6328,0,0,1140
jisut,4964,0,0,0
slocker,11742,0,0,0
slocker,15317,0,0,4
lockscreen,25129,0,0,0
jisut,18203,0,0,0
koler,28273,0,0,0
slocker,7212,0,0,0
koler,15696,0,0,0
slocker,12447,0,0,0
slocker,7346,0,0,0
lockscreen,7439,0,0,0
slocker,17048,0,0,0
congur,7389,0,0,0
jisut,11037,0,0,0
<unknown>,16049,0,1020,110
smsspy,15618,0,0,3
slocker,12387,0,0,0
jisut,23041,0,0,0
slocker,12170,0,0,0
lockscreen,8507,0,0,0
slocker,15474,0,0,4
koler,14008,0,0,0
lockscreen,19358,0,0,4
congur,13455,0,0,0
smsspy,11447,0,0,0
jisut,12172,0,0,0
slocker,11741,0,0,0
congur,8184,0,0,0
jisut,28099,0,0,0
jisut,11134,0,0,0
slocker,15474,0,0,0
lockscreen,22955,0,0,12
slocker,11608,0,0,0
slocker,13160,0,0,0
slocker,16002,0,0,37
jisut,19329,0,0,0
lockscreen,11656,0,0,0
lockscreen,31104,0,0,0
jisut,13475,0,0,0
slocker,15276,0,0,4
slocker,13299,0,0,4
smsspy,6055,0,0,0
lockscreen,17040,0,0,0
slocker,16735,0,0,0
lockscreen,13513,0,0,0
congur,18256,0,0,0
lockscreen,18912,0,0,18
jisut,22294,0,0,0
<unknown>,4762,0,0,0
jisut,11808,0,0,0
lockscreen,7689,0,0,69
slocker,21348,0,0,11
jisut,35200,0,0,0
lockscreen,27005,0,0,0
congur,7397,0,0,0
smsspy,23181,2835,4673,4
congur,11508,0,0,0
slocker,7426,0,0,0
slocker,12249,0,0,0
<unknown>,12463,0,0,0
congur,7344,0,0,0
slocker,12342,0,0,0
slocker,3852,0,0,0
congur,11557,0,0,0
slocker,7384,0,0,0
slocker,11726,0,0,0
slocker,4910,0,0,0
jisut,11605,0,0,0
slocker,14695,0,0,0
slocker,12266,0,0,0
jisut,13653,0,0,0
slocker,17639,0,0,0
lockscreen,27276,0,0,0
lockscreen,21432,0,0,0
congur,18022,0,0,0
lockscreen,29756,0,0,0
smsspy,7687,2717252,203337,800
slocker,12205,0,0,0
slocker,19787,0,0,0
lockscreen,17487,0,0,20
jisut,5026,0,0,0
smsspy,16237,1398,4346,59
slocker,16833,0,0,0
slocker,26805,0,0,0
jisut,27871,0,0,0
slocker,3880,0,0,0
smsspy,15744,0,0,0
congur,12850,0,0,0
koler,14799,0,0,0
slocker,14915,0,0,0
jisut,18663,0,0,0
slocker,12297,0,0,0
slocker,11741,0,0,0
smsspy,6103,0,0,0
smsspy,4926,0,0,0
jisut,12512,0,0,0
slocker,13581,0,0,0
smsspy,6129,0,0,0
slocker,12115,0,0,0
slocker,12474,0,0,0
lockscreen,5069,0,0,0
lockscreen,20537,0,0,12
lockscreen,13075,0,0,0
jisut,21918,0,0,0
lockscreen,5088,0,0,0
congur,16430,0,0,4
smsspy,11779,0,0,0
slocker,12362,0,0,0
slocker,12107,0,0,0
smsspy,25997,33721,17475,132
slocker,11946,0,0,0
jisut,29547,0,0,0
slocker,15084,0,0,4
<unknown>,4661,0,0,0
slocker,12417,0,0,0
slocker,12277,0,0,0
slocker,27626,0,0,0
<unknown>,21099,0,0,0
slocker,9076,0,0,0
jisut,28353,0,0,0
slocker,18778,0,0,0
slocker,16016,0,0,0
smsspy,26105,0,0,0
congur,12311,0,0,0
slocker,12361,0,0,0
slocker,14689,0,0,0
congur,12285,0,0,0
slocker,14519,0,0,0
jisut,31127,0,0,0
jisut,22772,0,0,0
slocker,12973,0,0,0
smsspy,24567,0,9576,0
koler,30843,0,0,0
jisut,21029,0,0,0
congur,15765,0,0,0
congur,13528,0,0,0
congur,10110,0,0,0
slocker,14784,0,0,0
slocker,5820,0,0,0
slocker,12829,0,0,0
lockscreen,23738,0,0,18
smsspy,5992,0,0,0
smsspy,15993,0,0,0
congur,15410,0,0,4
jisut,13345,0,0,0
slocker,14597,0,0,6
jisut,24634,0,0,0
jisut,14151,0,0,0
slocker,35009,0,0,0
slocker,12364,0,0,0
jisut,12880,0,0,0
smsspy,6250,0,0,0
slocker,7320,0,0,0
jisut,23255,0,0,0
lockscreen,31736,0,0,0
slocker,14980,0,0,4
jisut,19223,0,0,0
lockscreen,18342,0,0,8
jisut,18085,0,0,0
slocker,17423,0,0,0
congur,11600,0,0,0
smsspy,12160,0,0,0
slocker,4906,0,0,0
jisut,12213,0,0,0
slocker,12418,0,0,0
slocker,17690,0,0,5
jisut,26892,0,0,0
lockscreen,28640,0,0,1668
jisut,12175,0,0,0
jisut,22892,0,0,0
slocker,14690,0,0,6
smsspy,11190,336413,87878,20
slocker,12210,0,0,0
smsspy,6089,0,0,0
slocker,14153,0,0,4
slocker,11650,0,0,0
smsspy,6083,0,0,0
smsspy,6476,0,0,0
koler,14416,0,0,0
slocker,11715,0,0,0
slocker,11701,0,0,0
jisut,25933,0,0,0
jisut,25292,0,0,0
smsspy,6243,0,0,0
jisut,18851,0,0,0
slocker,16248,0,0,4
jisut,13963,0,0,0
slocker,7218,0,0,0
congur,19297,0,0,0
congur,16138,0,0,0
smsspy,13614,40,60,0
slocker,13597,0,0,0
slocker,12316,0,0,0
jisut,20062,0,0,0
<unknown>,14964,0,0,0
smsspy,25846,31568,13519,136
lockscreen,27056,0,0,0
slocker,7209,0,0,0
smsspy,12313,0,0,0
jisut,13610,0,0,0
lockscreen,19204,0,0,4
koler,14043,0,0,0
koler,21043,0,0,0
slocker,7856,0,0,0
jisut,12307,0,0,0
lockscreen,15280,0,0,0
jisut,16936,0,0,0
lockscreen,11843,0,0,0
slocker,11639,0,0,0
<unknown>,42241,0,0,0
slocker,23415,0,0,0
jisut,28225,0,0,0
smsspy,25783,28050,18888,98
slocker,14957,0,0,4
smsspy,13137,0,0,0
lockscreen,8421,0,0,0
jisut,20449,0,0,0
congur,7459,0,0,0
koler,31870,0,0,0
slocker,11645,0,0,0
slocker,12359,0,0,0
slocker,6045,0,0,0
slocker,7313,0,0,0
jisut,5842,0,0,0
slocker,7413,0,0,0
slocker,11722,0,0,0
slocker,11677,0,0,0
slocker,7255,0,0,0
jisut,4704,0,0,0
jisut,13552,0,0,0
congur,7463,0,0,0
slocker,11803,0,0,0
slocker,11590,0,0,0
slocker,15073,0,0,4
slocker,12185,0,0,0
slocker,11587,0,0,0
slocker,12409,0,0,0
jisut,18909,0,0,0
slocker,7183,0,0,0
jisut,13700,0,0,0
jisut,18384,0,0,0
jisut,24097,0,0,18
congur,12682,0,0,0
slocker,12405,0,0,0
lockscreen,16920,0,0,25
slocker,5193,0,0,0
lockscreen,28759,0,0,0
slocker,15694,0,0,0
smsspy,6034,0,0,0
lockscreen,18372,0,0,0
lockscreen,20555,0,0,6
slocker,15322,0,0,0
jisut,28704,0,0,0
slocker,18005,0,0,0
lockscreen,24639,0,0,7
congur,7602,0,0,0
smsspy,6160,0,0,0
<unknown>,4758,0,0,0
jisut,20669,0,0,0
lockscreen,7109,0,0,0
slocker,15568,0,0,28
smsspy,24641,556646,138885,66
jisut,14769,0,0,4
smsspy,6226,0,0,0
slocker,17032,0,0,18
slocker,7259,0,0,0
lockscreen,15663,0,0,155
jisut,11229,0,0,0
koler,30950,0,0,0
<unknown>,14547,0,0,0
jisut,23694,0,0,0
lockscreen,12215,0,0,0
lockscreen,12924,0,0,0
slocker,12388,0,0,0
slocker,26853,0,0,0
slocker,14411,0,0,0
slocker,15184,0,0,0
slocker,14081,0,0,0
slocker,16503,0,0,0
slocker,11625,0,0,0
slocker,3901,0,0,0
lockscreen,30209,0,0,0
smsspy,9239,0,0,120
<unknown>,5478,0,0,631
slocker,11804,0,0,0
jisut,17088,0,0,0
<unknown>,6339,0,0,0
slocker,12381,0,0,0
slocker,12362,0,0,0
lockscreen,18332,0,0,0
lockscreen,10060,0,0,0
slocker,11674,0,0,0
smsspy,9549,120,1260,12
lockscreen,24646,0,0,160
slocker,16046,0,0,4
slocker,7320,0,0,0
smsspy,6167,0,0,1132
slocker,11598,0,0,0
slocker,14161,0,0,0
jisut,28848,0,0,0
slocker,12254,0,0,0
slocker,26439,0,0,0
slocker,18198,0,0,4
congur,7316,0,0,0
lockscreen,17713,0,0,0
jisut,13391,0,0,0
slocker,18635,0,0,17
jisut,8141,0,0,0
slocker,11917,0,0,0
jisut,12734,0,0,0
smsspy,6196,0,0,0
slocker,12496,0,0,0
slocker,12224,0,0,0
<unknown>,25896,2725136,98009,564
<unknown>,15252,0,0,0
jisut,26684,0,0,0
lockscreen,12791,0,0,0
lockscreen,14987,0,0,0
slocker,7446,0,0,0
jisut,21795,0,0,0
congur,14638,0,0,0
slocker,19171,0,0,0
jisut,12753,0,0,0
jisut,25054,0,0,0
<unknown>,11465,0,0,0
jisut,11289,0,0,0
slocker,7390,0,0,0
koler,28255,0,0,0
slocker,11655,0,0,0
jisut,11850,0,0,0
jisut,13278,0,0,0
slocker,12407,0,0,0
slocker,7378,0,0,0
slocker,24003,0,0,0
jisut,13310,0,0,18
slocker,14744,0,0,4
smsspy,9591,120,1680,16
slocker,12356,0,0,0
jisut,12642,0,0,0
koler,29222,0,0,0
congur,15242,0,0,4
slocker,10290,0,0,0
lockscreen,22269,0,0,10
lockscreen,14355,0,0,184
jisut,12137,0,0,0
slocker,4562,0,0,0
slocker,7493,0,0,0
congur,12268,0,0,0
smsspy,9582,0,1560,100
slocker,7294,0,0,0
slocker,12552,0,0,6
jisut,21643,0,0,0
smsspy,28654,10876,2450,16
slocker,12356,0,0,0
lockscreen,14382,0,0,0
slocker,18457,0,0,4
koler,29007,0,0,0
masnu,27181,240,1800,1462
slocker,12250,0,0,0
slocker,14812,0,0,0
slocker,7384,0,0,0
lockscreen,17976,0,0,0
lockscreen,7391,0,0,0
jisut,26895,0,0,0
lockscreen,29090,0,0,0
slocker,6364,0,0,0
smsspy,4805,0,0,0
slocker,10560,0,0,0
jisut,13658,0,0,0
congur,7356,0,0,0
slocker,12727,0,0,0
slocker,12239,0,0,0
smsspy,6083,0,0,0
slocker,11577,0,0,0
slocker,8223,0,0,0
slocker,5094,0,0,0
slocker,11629,0,0,0
slocker,12824,0,0,0
jisut,13781,0,0,0
masnu,17000,680,1020,7226
jisut,4836,0,0,0
jisut,7498,0,0,0
congur,12372,0,0,0
slocker,11677,0,0,0
jisut,11143,0,0,0
slocker,12177,0,0,0
congur,7300,0,0,0
slocker,13046,0,0,0
lockscreen,31854,0,0,0
congur,14936,0,0,0
slocker,15445,0,0,4
slocker,5072,0,0,0
congur,12321,0,0,0
lockscreen,29276,0,0,0
slocker,13358,0,0,0
slocker,11687,0,0,0
jisut,21741,0,0,0
congur,12799,0,0,72
congur,11598,0,0,0
congur,18549,0,0,0
slocker,15499,0,0,0
smsspy,25805,0,0,0
slocker,18622,0,0,0
jisut,11661,0,0,0
jisut,19469,0,0,0
congur,14771,0,0,0
slocker,12231,0,0,0
slocker,5210,0,0,0
jisut,19535,0,0,0
slocker,7355,0,0,0
jisut,11886,0,0,0
lockscreen,14167,0,0,0
slocker,12256,0,0,0
jisut,12558,0,0,0
smsspy,21951,3579,7487,53
lockscreen,27686,0,0,0
jisut,27950,0,0,0
slocker,11641,0,0,0
slocker,12328,0,0,0
slocker,16540,0,0,0
jisut,16930,0,0,0
slocker,11679,0,0,0
slocker,12288,0,0,0
slocker,11680,0,0,0
slocker,26392,0,0,0
slocker,14768,0,0,0
slocker,15179,0,0,0
slocker,13003,0,0,0
slocker,16839,0,0,0
lockscreen,36614,2277,1236,4
congur,12309,0,0,0
slocker,7228,0,0,0
slocker,7307,0,0,0
slocker,7192,0,0,0
slocker,11093,0,0,0
slocker,7278,0,0,0
jisut,18446,0,0,0
jisut,27989,0,0,33
lockscreen,24958,0,0,12
congur,15937,0,0,0
slocker,12261,0,0,0
smsspy,5993,0,0,0
smsspy,12953,0,0,0
lockscreen,21362,0,0,108
slocker,21770,0,0,92
congur,4911,0,0,0
congur,7435,0,0,0
jisut,31472,0,0,0
slocker,12012,0,0,0
jisut,11639,0,0,0
slocker,7429,0,0,0
congur,12161,0,0,0
jisut,26734,0,0,0
congur,13476,0,0,0
jisut,13493,0,0,0
lockscreen,30823,0,0,0
jisut,26220,0,0,0
smsspy,6118,0,0,0
congur,21673,0,0,4
slocker,15494,0,0,0
slocker,21707,0,0,14
jisut,23486,0,0,9
jisut,17332,0,0,0
jisut,33396,0,0,0
smsspy,6020,0,0,0
slocker,11569,0,0,0
slocker,5108,0,0,0
slocker,28384,0,0,0
slocker,15733,0,0,4
koler,26045,0,0,0
<unknown>,14967,0,0,0
lockscreen,9425,0,0,0
slocker,14510,0,0,4
lockscreen,30116,0,0,0
smsspy,13207,1398,5242,89
slocker,7348,0,0,0
smsspy,15893,0,0,0
slocker,15366,0,0,0
slocker,14152,0,0,12
lockscreen,17050,0,0,109
slocker,11622,0,0,0
slocker,3867,0,0,0
jisut,26158,0,0,0
lockscreen,27635,0,0,0
smsspy,13177,40,1440,0
slocker,32773,4404067,332075,738
jisut,5732,0,0,0
congur,12906,0,0,0
slocker,11579,0,0,0
slocker,13315,0,0,0
congur,7370,0,0,0
jisut,13632,0,0,0
slocker,11390,0,0,0
lockscreen,21137,0,0,18
lockscreen,22484,0,0,12
smsspy,6100,0,0,0
slocker,14542,0,0,0
slocker,13476,0,0,0
jisut,11633,0,0,0
slocker,23110,0,0,0
slocker,12298,0,0,0
jisut,22477,0,0,0
jisut,18899,0,0,0
slocker,12308,0,0,0
slocker,9740,0,0,0
smsspy,6027,0,0,0
slocker,14946,0,0,4
slocker,7414,0,0,0
congur,11996,0,0,0
slocker,11658,0,0,0
slocker,29664,0,0,0
lockscreen,12655,0,0,0
slocker,12410,0,0,0
koler,14185,0,0,0
slocker,21172,0,0,43
slocker,7414,0,0,0
lockscreen,12999,0,0,0
smsspy,11197,54572,69040,24
jisut,22321,0,0,0
congur,22078,0,0,196
jisut,12557,0,0,0
slocker,11660,0,0,0
jisut,16512,0,0,0
congur,13337,0,0,0
koler,14091,0,0,0
slocker,12327,0,0,0
slocker,17503,0,0,0
slocker,12253,0,0,0
slocker,17132,0,0,0
jisut,11082,0,0,0
slocker,14843,0,0,4
jisut,15850,0,0,0
smsspy,5869,325284,196911,0
slocker,11643,0,0,0
jisut,30331,0,0,0
jisut,13399,0,0,0
lockscreen,28773,0,0,0
slocker,15221,0,0,0
slocker,16229,0,0,4
slocker,7223,0,0,0
jisut,8088,0,0,0
jisut,11609,0,0,0
smsspy,6296,0,0,0
slocker,7320,0,0,0
slocker,12397,0,0,0
slocker,14455,0,0,33
lockscreen,23576,0,0,0
smsspy,6010,0,0,0
lockscreen,6998,0,0,0
slocker,5013,0,0,0
congur,15706,0,0,0
slocker,7422,0,0,0
lockscreen,30521,0,0,0
lockscreen,12773,0,0,0
slocker,7311,0,0,0
jisut,30872,0,0,0
smsspy,6117,0,0,0
jisut,8203,0,0,0
slocker,11557,0,0,0
congur,15882,0,0,4
jisut,19331,0,0,0
lockscreen,21262,0,0,0
slocker,11611,0,0,0
slocker,12336,0,0,0
slocker,11809,0,0,0
slocker,15903,0,0,4
lockscreen,26457,0,0,0
smsspy,6007,0,0,0
slocker,22127,0,0,41
lockscreen,11946,0,0,0
lockscreen,11556,0,0,0
slocker,16044,0,0,4
<unknown>,11756,0,0,0
<unknown>,7516,0,0,0
slocker,15309,0,0,0
slocker,11418,0,0,3
slocker,19644,0,0,0
slocker,14588,0,0,0
jisut,12591,0,0,0
slocker,15485,0,0,0
congur,12226,0,0,0
slocker,11680,0,0,0
slocker,14480,0,0,4
congur,15032,0,0,4
slocker,15266,0,0,4
smsspy,9981,160,1980,12
congur,15652,0,0,4
<unknown>,12337,0,0,0
<unknown>,12721,0,0,0
jisut,14213,0,0,0
jisut,11816,0,0,0
jisut,7249,0,0,8
<unknown>,7379,0,0,0
slocker,12206,0,0,0
slocker,7253,0,0,0
koler,20529,0,0,0
slocker,5224,0,0,0
slocker,16053,0,0,4
congur,4988,0,0,0
slocker,17024,0,0,25
koler,13927,0,0,0
smsspy,14152,40,60,0
lockscreen,17842,0,0,0
jisut,13754,0,0,0
jisut,5503,0,0,0
lockscreen,23868,0,0,144
slocker,17397,0,0,4
slocker,12324,0,0,0
slocker,12208,0,0,0
lockscreen,7297,0,0,0
slocker,11710,0,0,0
smsspy,6105,0,0,0
jisut,7400,0,0,0
jisut,11310,0,0,0
lockscreen,13319,0,0,0
jisut,13465,0,0,0
smsspy,6188,0,0,0
lockscreen,27945,0,0,0
congur,13812,0,0,0
lockscreen,26507,0,0,0
congur,25232,0,0,111
smsspy,13800,0,0,0
slocker,12222,0,0,0
<unknown>,12544,0,0,0
jisut,25879,0,0,0
lockscreen,12752,0,0,0
slocker,11605,0,0,0
congur,18474,0,0,0
jisut,20146,0,0,18
congur,12988,0,0,0
congur,11648,0,0,0
slocker,7362,0,0,0
slocker,7230,0,0,0
slocker,21377,0,0,4
jisut,7216,0,0,0
jisut,28658,0,0,0
slocker,12871,0,0,0
lockscreen,5090,0,0,0
slocker,12186,0,0,0
congur,12422,0,0,0
slocker,12368,0,0,0
jisut,13151,0,0,0
slocker,12158,0,0,0
slocker,22922,0,0,0
slocker,7246,0,0,0
congur,12454,0,0,0
jisut,31747,0,0,0
koler,31601,0,0,0
slocker,12391,0,0,0
slocker,12420,0,0,0
<unknown>,12106,0,0,0
slocker,18709,0,0,4
slocker,12461,0,0,0
slocker,17269,0,0,0
slocker,14797,0,0,0
smsspy,27804,0,0,0
slocker,13842,0,0,0
jisut,5915,0,0,0
jisut,4893,0,0,0
congur,7439,0,0,0
jisut,21642,0,0,188
lockscreen,6925,0,0,0
congur,15166,0,0,4
koler,27712,0,0,0
slocker,12464,0,0,0
lockscreen,29735,0,0,0
smsspy,6596,0,0,0
koler,14128,0,0,0
jisut,28486,0,0,0
slocker,13009,0,0,0
jisut,14856,0,0,0
<unknown>,18516,0,0,0
<unknown>,27056,0,0,0
slocker,26409,0,0,0
congur,12331,0,0,0
lockscreen,28997,0,0,0
koler,14063,0,0,0
congur,15663,0,0,24
slocker,15282,0,0,0
slocker,19479,0,0,0
<unknown>,7343,0,0,749
lockscreen,18446,0,0,0
<unknown>,7172,0,0,0
koler,14034,0,0,0
slocker,7345,0,0,0
smsspy,6247,0,0,0
smsspy,6374,0,0,0
jisut,12175,0,0,0
slocker,7188,0,0,0
slocker,19093,0,0,4
slocker,11541,0,0,0
smsspy,14769,0,0,0
slocker,15958,0,0,0
congur,16947,0,0,40
slocker,12435,0,0,0
koler,30919,0,0,0
