date,recon,login,exploit,botnet
2017-12-11,485273.0,33718.0,195.0,5448.0
2017-12-12,749645.0,51080.0,785.0,8629.0
2017-12-13,843149.67,57351.67,1501.33,10676.0
2017-12-14,892544.75,60181.5,1551.5,10708.5
2017-12-15,913111.2,62690.8,1750.8,10322.4
2017-12-16,923236.83,66890.33,1764.83,9871.67
2017-12-17,936118.86,70028.0,1996.0,9284.29
2017-12-18,1012147.29,75716.71,2452.0,15232.57
2017-12-19,1011859.14,76073.86,2683.0,18354.14
2017-12-20,1015959.29,76299.14,2713.0,28165.86
2017-12-21,1011618.57,76150.86,3121.86,28886.43
2017-12-22,1016788.14,80080.71,3849.14,31157.0
2017-12-23,1022625.57,86371.0,4097.29,35232.43
2017-12-24,1018383.14,93628.57,4291.86,39354.14
2017-12-25,1010481.43,103897.43,7741.86,37549.0
2017-12-26,1007818.86,114092.57,10236.14,37543.14
2017-12-27,995318.71,123893.29,13858.43,30079.71
2017-12-28,986750.29,132851.86,15649.0,33364.86
2017-12-29,980622.14,137815.29,14614.57,32112.0
2017-12-30,974494.86,139325.29,14127.57,28874.86
2017-12-31,975261.71,141459.43,13819.43,26561.43
2018-01-01,973401.29,142516.43,11085.0,25006.86
2018-01-02,974110.57,141989.71,8913.71,22734.0
2018-01-03,984753.71,140779.86,5119.57,20461.71
2018-01-04,994475.14,142197.71,2781.0,17008.0
2018-01-05,1002241.43,142792.29,2804.86,16007.0
2018-01-06,1010444.14,142266.43,3244.43,14942.71
2018-01-07,1011913.57,140440.29,3877.14,13360.14
2018-01-08,1017580.71,137757.0,4693.71,10999.86
2018-01-09,1016644.0,139125.86,5063.57,9996.43
2018-01-10,1023222.43,145927.57,5578.29,11927.0
2018-01-11,1031848.57,149791.71,6048.0,12013.86
2018-01-12,1037798.57,152356.0,6610.71,12118.0
2018-01-13,1050743.29,157682.71,6470.0,12161.14
2018-01-14,1060607.29,153155.71,5502.14,12070.29
2018-01-15,1072125.14,150467.43,3532.29,14986.29
2018-01-16,1084786.86,149889.57,2457.14,19954.29
2018-01-17,1094886.14,142895.71,1710.71,21458.29
2018-01-18,1106463.71,136899.57,1187.29,23698.0
2018-01-19,1106312.86,133593.29,585.71,25972.0
2018-01-20,1106394.14,128343.29,305.0,28596.29
2018-01-21,1108164.86,132491.43,288.0,31903.43
2018-01-22,1099004.43,135918.57,279.86,38450.0
2018-01-23,1109736.0,134306.14,282.43,37634.14
2018-01-24,1110828.71,134990.14,285.86,36720.57
2018-01-25,1093791.14,138732.43,873.71,35679.57
2018-01-26,1088564.57,138874.0,7503.86,35118.43
2018-01-27,1084834.29,139190.71,7703.86,37464.14
2018-01-28,1080147.57,140788.14,7935.57,35886.71
2018-01-29,1094076.71,143928.86,8099.86,27658.71
2018-01-30,1101095.57,144362.57,10946.0,24911.29
2018-01-31,1124565.43,147687.71,14640.71,23605.71
2018-02-01,1159103.0,147913.43,18219.71,23658.14
2018-02-02,1182923.14,150864.43,15880.71,23270.29
2018-02-03,1200902.71,156047.71,17864.0,19450.57
2018-02-04,1216907.57,159021.71,18614.29,18415.14
2018-02-05,1225104.71,157305.71,22228.71,17804.0
2018-02-06,1223058.57,159069.86,31770.14,16385.57
2018-02-07,1203116.0,155549.71,44653.14,14767.71
2018-02-08,1189064.71,152071.57,56948.86,12898.0
2018-02-09,1187738.29,151738.43,69592.71,11533.86
2018-02-10,1171345.0,149801.71,86015.71,11030.71
2018-02-11,1158032.29,146890.57,96305.43,10842.14
2018-02-12,1137389.57,148311.57,108997.43,10595.29
2018-02-13,1112641.29,148795.0,113917.14,10618.14
2018-02-14,1081392.29,148805.0,118919.0,10225.43
2018-02-15,1049283.0,151142.29,115935.29,10170.0
2018-02-16,1026142.0,151015.86,113645.0,10151.14
2018-02-17,1011207.0,149820.0,111782.29,9803.14
2018-02-18,999952.29,150253.43,118121.57,10350.57
2018-02-19,997329.86,150312.0,117129.29,10873.43
2018-02-20,1000562.57,152657.43,115597.57,11365.71
2018-02-21,1009908.71,160964.86,109024.86,11643.43
2018-02-22,1013812.86,161469.71,110467.0,11599.71
2018-02-23,999982.29,161529.71,110728.43,11513.71
2018-02-24,995996.0,163312.0,128982.43,11274.0
2018-02-25,992236.86,162856.14,118439.86,22213.14
2018-02-26,993685.14,158878.29,115831.0,21307.14
2018-02-27,995218.57,154199.14,111223.57,20266.0
2018-02-28,1001628.43,145133.57,109760.43,19527.14
2018-03-01,1009858.29,141888.86,104556.29,18919.14
2018-03-02,1020715.43,139181.43,98055.0,22710.0
2018-03-03,1021580.43,138852.0,76842.71,22450.57
2018-03-04,1021268.14,145726.57,83603.57,10292.86
2018-03-05,1011209.43,150284.71,81628.71,11067.43
2018-03-06,1000765.0,148697.86,82301.86,11024.0
2018-03-07,992794.0,153497.86,82113.0,11479.14
2018-03-08,980121.29,154179.57,82656.14,11289.14
2018-03-09,963907.29,147005.57,84048.71,7318.0
2018-03-10,956844.0,137488.14,80631.0,8038.0
2018-03-11,942163.86,122048.43,76289.57,8726.86
2018-03-12,936779.29,117031.86,75517.43,12286.0
2018-03-13,928260.0,115468.71,76462.14,15671.43
2018-03-14,923552.71,109927.14,74837.29,18238.29
2018-03-15,917695.86,110284.86,77456.0,21341.14
2018-03-16,916167.29,114277.43,83775.57,27768.29
2018-03-17,912321.14,117024.0,90536.43,27035.71
2018-03-18,897205.43,116927.43,95912.14,26094.0
2018-03-19,897717.71,117185.0,103469.29,21444.29
2018-03-20,897049.43,122928.57,105435.43,17985.43
2018-03-21,890973.57,124751.43,104086.43,14886.86
2018-03-22,908440.71,126477.14,100074.57,11846.86
2018-03-23,916098.29,124963.57,96360.57,4741.14
2018-03-24,930251.29,121509.86,97068.14,4437.43
2018-03-25,974947.43,118625.14,97496.14,4386.86
2018-03-26,995213.43,107754.29,93224.29,4184.57
2018-03-27,1025995.29,96554.71,89582.14,4026.14
2018-03-28,1061418.71,91028.86,94290.0,3728.14
2018-03-29,1086598.29,90085.57,110771.71,3707.43
2018-03-30,1117102.29,91457.29,110407.71,3615.43
2018-03-31,1147798.86,90293.86,114283.71,3441.86
2018-04-01,1156081.86,97098.29,110651.71,3351.29
2018-04-02,1148408.71,104288.29,108138.43,3629.71
2018-04-03,1105222.43,104878.43,103491.57,3486.57
2018-04-04,1033894.43,98857.57,93281.57,3685.0
2018-04-05,941451.86,85584.71,72887.43,3458.29
2018-04-06,839303.86,73998.71,65850.0,3476.0
2018-04-07,715995.86,64820.86,47999.86,3379.57
2018-04-08,592991.71,50103.14,39542.29,3065.29
2018-04-09,490720.57,37834.29,30869.14,2431.43
2018-04-10,445718.0,32801.57,29675.43,2133.14
2018-04-11,460383.86,34739.0,31320.86,1743.43
2018-04-12,531557.29,39974.29,34974.14,1799.57
2018-04-13,624478.0,50002.71,40384.71,2346.0
2018-04-14,724720.29,64407.29,51512.57,2817.0
2018-04-15,829993.57,81954.29,62708.14,3257.43
2018-04-16,943761.57,98483.86,71925.71,3864.71
2018-04-17,1023114.43,109936.71,77640.14,4074.43
2018-04-18,1063895.86,116062.86,80289.57,4122.71
2018-04-19,1067372.71,118530.0,80291.14,5210.71
2018-04-20,1070473.14,122133.14,77829.29,9201.86
2018-04-21,1081815.0,119693.86,71360.86,10592.43
2018-04-22,1115073.29,115446.14,67419.71,11655.29
2018-04-23,1133961.86,111041.43,66444.0,12925.57
2018-04-24,1149696.43,104790.29,62232.57,13900.14
2018-04-25,1178497.57,102691.0,60274.86,15310.14
2018-04-26,1219249.43,106855.0,59531.57,15530.29
2018-04-27,1260774.29,107653.14,61611.57,12232.57
2018-04-28,1279665.57,109695.43,63350.86,11027.57
2018-04-29,1296241.14,112264.14,70397.29,10207.86
2018-04-30,1306449.29,115822.14,70499.71,9771.0
2018-05-01,1324029.57,123366.0,73738.71,9670.71
2018-05-02,1301851.71,125904.14,74634.86,10795.86
2018-05-03,1267485.57,125732.86,78091.29,12216.29
2018-05-04,1234000.43,124086.14,83956.29,16059.43
2018-05-05,1250570.0,128616.14,86963.29,17092.71
2018-05-06,1269715.14,129667.0,81194.86,18208.71
2018-05-07,1301634.86,128959.57,79955.29,19146.71
2018-05-08,1335174.57,134870.43,80269.29,19872.43
2018-05-09,1403638.14,144543.43,80048.43,19930.29
2018-05-10,1457758.29,149446.29,77849.71,19626.71
2018-05-11,1509299.86,148445.0,69306.43,16953.86
2018-05-12,1522119.43,146080.0,68666.71,17006.14
2018-05-13,1518602.43,144066.14,73729.57,17073.86
2018-05-14,1518455.71,146859.29,76309.43,18200.0
2018-05-15,1520086.57,140116.0,83483.14,19100.57
2018-05-16,1511351.14,130029.86,83209.0,19353.71
2018-05-17,1501561.71,122616.29,86081.43,19609.29
2018-05-18,1481008.14,118932.29,88138.71,19850.0
2018-05-19,1440474.14,111869.0,87414.57,20050.57
2018-05-20,1395656.86,105029.43,92948.14,21524.14
2018-05-21,1357286.57,97409.0,104176.43,21807.86
2018-05-22,1312062.0,91325.71,112986.43,23114.86
2018-05-23,1274539.86,87196.14,133524.57,22523.71
2018-05-24,1248479.86,85704.14,147704.43,22129.86
2018-05-25,1210373.14,83323.0,148443.86,20057.29
2018-05-26,1192794.14,78719.86,138032.14,18233.43
2018-05-27,1172852.29,76735.86,117237.0,15145.86
2018-05-28,1172349.57,80350.57,104176.71,11936.71
2018-05-29,1196271.57,88510.86,102496.43,9240.71
2018-05-30,1237379.86,102204.71,92461.0,9679.0
2018-05-31,1274263.71,109169.43,94015.86,10210.86
2018-06-01,1324745.14,119193.29,104086.71,11387.57
2018-06-02,1374330.43,132578.86,110503.43,13488.43
2018-06-03,1420423.0,146631.57,128973.57,16120.86
2018-06-04,1439428.14,151326.57,137579.29,18659.14
2018-06-05,1441641.57,155586.14,124105.29,19606.86
2018-06-06,1426771.86,154375.14,114559.0,18856.57
2018-06-07,1395036.14,155290.14,96933.29,17162.43
2018-06-08,1369530.43,152409.86,85787.0,16636.29
2018-06-09,1344262.57,148869.0,85772.29,15317.71
2018-06-10,1345004.0,142795.71,73248.86,13443.71
2018-06-11,1358730.14,136708.57,63169.14,13917.0
2018-06-12,1393843.0,128483.0,61267.14,12665.86
2018-06-13,1446715.0,118087.86,61146.71,11997.0
2018-06-14,1525173.43,110951.43,57518.71,40766.57
2018-06-15,1605760.71,108810.0,50426.0,40987.0
2018-06-16,1683166.57,107535.29,45487.57,40935.29
2018-06-17,1744600.29,110904.57,40979.86,42148.43
2018-06-18,1779587.71,111659.43,35367.14,40219.14
2018-06-19,1780978.43,115892.0,28539.43,41264.86
2018-06-20,1760989.86,137976.86,22320.14,42033.29
2018-06-21,1756607.0,162474.29,17717.14,13712.71
2018-06-22,1789097.43,178683.43,21628.14,13995.57
2018-06-23,1834832.0,201388.14,26765.71,14724.43
2018-06-24,1884450.71,219855.0,26903.86,14138.29
2018-06-25,1946893.57,231228.71,27783.71,14360.71
2018-06-26,1975214.71,230322.86,28571.14,13815.29
2018-06-27,1989026.29,211101.86,29399.71,17933.43
2018-06-28,1980085.57,186745.43,30961.29,17323.14
2018-06-29,1910521.86,166931.14,28921.71,16810.29
2018-06-30,1828860.29,140357.57,24015.86,16332.86
2018-07-01,1743829.43,115239.57,24097.0,15696.14
2018-07-02,1651489.29,99190.14,40984.71,15227.0
2018-07-03,1612885.86,91348.71,50459.86,14739.71
2018-07-04,1581348.43,84845.0,55008.71,9307.71
2018-07-05,1541023.71,80310.86,59271.14,9637.0
2018-07-06,1525135.57,80991.43,62877.29,11066.86
2018-07-07,1522811.29,84230.43,67878.71,11345.57
2018-07-08,1519546.0,83664.86,71857.43,11804.71
2018-07-09,1528072.43,81909.14,54021.43,22579.14
2018-07-10,1516727.43,77710.43,49465.29,33606.71
2018-07-11,1537131.71,76051.29,57868.0,32864.0
2018-07-12,1581758.43,76711.14,60464.71,31607.29
2018-07-13,1610786.29,75328.71,65864.57,29206.57
2018-07-14,1619807.86,71308.0,68467.0,28111.0
2018-07-15,1638133.71,70276.14,73076.57,26975.57
2018-07-16,1651849.71,72415.86,103562.43,14660.14
2018-07-17,1681761.43,79838.57,117989.43,2418.71
2018-07-18,1670037.43,89258.43,119856.29,2172.57
2018-07-19,1633975.29,94964.0,125202.57,1610.29
2018-07-20,1616117.57,102668.57,128568.43,1292.0
2018-07-21,1622970.57,110789.71,133993.86,953.29
2018-07-22,1636591.0,116881.43,133969.57,544.29
2018-07-23,1650866.0,123206.29,118365.0,544.71
2018-07-24,1673066.86,128768.0,117319.57,458.71
2018-07-25,1714195.0,130226.86,117609.43,518.43
2018-07-26,1742159.57,135376.57,113978.14,507.14
2018-07-27,1730004.0,138223.43,115962.43,280.71
2018-07-28,1692709.0,141467.57,117697.57,217.0
2018-07-29,1636349.86,143703.71,120082.57,217.57
2018-07-30,1587655.57,145436.86,120697.14,217.29
2018-07-31,1529191.86,142990.71,112812.14,216.14
2018-08-01,1477997.71,141854.14,109584.14,4.86
2018-08-02,1448408.86,137455.14,109693.57,69.57
2018-08-03,1463287.71,134489.29,102944.14,76.0
2018-08-04,1486897.86,129176.43,94201.29,90.86
2018-08-05,1520542.86,129077.0,111010.14,107.0
2018-08-06,1556994.71,125686.43,129829.57,120.86
2018-08-07,1596397.43,124329.43,140744.71,136.14
2018-08-08,1620586.43,122195.71,144323.57,150.14
2018-08-09,1652983.71,120914.14,146991.86,98.71
2018-08-10,1681135.57,118630.14,151549.71,106.0
2018-08-11,1705736.86,115458.0,155508.0,103.43
2018-08-12,1705164.0,104752.86,136336.86,98.0
2018-08-13,1692226.43,97143.57,111456.57,96.57
2018-08-14,1679977.57,88338.71,99280.14,95.71
2018-08-15,1685138.57,81090.14,93197.43,96.29
2018-08-16,1673233.29,74579.86,89957.0,97.14
2018-08-17,1663121.14,69141.29,87480.43,262.14
2018-08-18,1671170.86,70885.0,87599.0,691.29
2018-08-19,1697190.71,78304.43,89338.71,1193.29
2018-08-20,1738509.43,86822.57,89345.57,1784.29
2018-08-21,1769201.29,94506.71,90609.71,2330.71
2018-08-22,1795340.86,103970.43,87665.0,2700.0
2018-08-23,1807216.86,110539.71,84494.0,2736.57
2018-08-24,1821773.0,118364.71,81363.43,2599.0
2018-08-25,1865152.29,120971.43,77108.0,2204.0
2018-08-26,1896280.86,122112.29,86661.71,1748.71
2018-08-27,1901200.57,123055.71,101936.29,1204.14
2018-08-28,1913615.57,125558.14,112644.71,689.0
2018-08-29,1937400.14,124167.43,125863.14,357.14
2018-08-30,1981016.0,124377.0,141971.43,334.0
2018-08-31,2010815.29,117087.57,149357.71,305.71
2018-09-01,1993828.43,109465.43,159729.57,272.86
2018-09-02,1974081.43,102881.43,147375.29,224.71
2018-09-03,1965689.14,95921.29,129785.14,180.29
2018-09-04,1959803.71,91451.29,117312.0,150.86
2018-09-05,1926789.71,87158.71,107688.86,118.29
2018-09-06,1901268.86,82582.43,90760.0,107.0
2018-09-07,1887095.14,85669.57,82827.57,107.86
2018-09-08,1901352.57,89483.0,70630.0,108.14
2018-09-09,1923461.0,92265.43,80852.0,111.0
2018-09-10,1943060.14,93494.43,94422.57,110.14
2018-09-11,1939669.71,93666.14,106653.57,108.43
2018-09-12,1954333.57,96491.57,115353.14,100.29
2018-09-13,1953595.43,98627.43,130399.57,97.14
2018-09-14,1934739.71,99854.86,148797.71,94.0
2018-09-15,1896375.43,103238.71,168960.86,93.14
2018-09-16,1867893.14,106275.71,166452.43,93.14
2018-09-17,1834748.43,108232.86,157655.0,94.0
2018-09-18,1809461.29,108238.14,146429.86,92.57
2018-09-19,1770499.86,107478.0,136865.14,98.0
2018-09-20,1759666.29,110522.0,123856.29,97.29
2018-09-21,1756971.71,111368.14,109519.0,99.29
2018-09-22,1760376.71,109032.57,93954.86,100.43
2018-09-23,1750024.71,108207.0,107754.43,110.71
2018-09-24,1748060.71,110291.86,128561.29,113.14
2018-09-25,1748664.29,110642.0,145184.71,184.43
2018-09-26,1752824.86,109664.71,151820.71,312.14
2018-09-27,1741647.57,97471.71,161583.86,320.43
2018-09-28,1738900.86,96646.86,168639.86,319.0
2018-09-29,1734658.86,95177.0,176801.29,318.29
2018-09-30,1718935.43,92506.71,155778.86,319.14
2018-10-01,1721136.0,88908.86,135454.29,323.71
2018-10-02,1709087.86,86275.57,116694.0,308.43
2018-10-03,1703463.71,85471.29,109658.71,252.0
2018-10-04,1684241.29,95329.86,102506.43,245.43
2018-10-05,1657696.29,93876.14,91771.43,246.29
2018-10-06,1633290.86,92924.29,83491.57,245.86
2018-10-07,1626518.29,94364.57,89368.86,245.57
2018-10-08,1605945.14,97276.43,86180.57,257.71
2018-10-09,1606934.29,100662.29,85608.14,258.29
2018-10-10,1624957.57,102556.14,81617.0,222.43
2018-10-11,1650968.57,101777.71,78217.57,231.57
2018-10-12,1685869.71,100632.71,77643.57,231.71
2018-10-13,1718808.86,99379.0,74017.29,232.0
2018-10-14,1744669.29,97944.29,65141.71,231.57
2018-10-15,1760359.14,95271.43,61358.71,237.43
2018-10-16,1791620.57,94994.71,59290.43,259.71
2018-10-17,1800684.0,93403.0,61177.57,273.86
2018-10-18,1806630.86,93717.14,61180.29,269.14
2018-10-19,1803839.86,93500.43,59807.29,269.29
2018-10-20,1784942.0,92620.0,58058.29,269.57
2018-10-21,1782427.71,91378.14,58158.86,259.71
2018-10-22,1881057.43,93540.71,57618.0,252.14
2018-10-23,1886849.71,91029.86,55799.29,179.86
2018-10-24,1927401.57,92201.57,55129.57,176.29
2018-10-25,1965197.71,93643.86,56455.43,176.86
2018-10-26,2006081.86,95673.86,58125.14,175.71
2018-10-27,2060114.29,98028.86,59601.57,174.57
2018-10-28,2079287.29,100093.29,65350.29,174.57
2018-10-29,1965265.43,99003.71,76579.29,160.86
2018-10-30,1926980.0,101992.29,86251.43,178.29
2018-11-01,1853050.29,102943.57,100043.71,182.86
2018-11-02,1794637.86,102385.0,99769.14,179.29
2018-11-03,1750455.71,103324.29,98538.57,182.29
2018-11-04,1697741.14,103448.14,103154.0,189.57
2018-11-05,1670568.57,101995.29,99447.57,239.86
2018-11-06,1687042.86,101792.86,88766.57,340.29
2018-11-07,1692932.71,101486.29,83255.29,342.86
2018-11-08,1680842.43,100756.71,68583.29,290.14
2018-11-09,1689587.29,98009.57,66500.14,289.29
2018-11-10,1666263.29,95518.86,65042.86,287.57
2018-11-11,1656199.71,95284.71,62702.43,282.86
2018-11-12,1661186.43,94406.14,62665.57,235.71
2018-11-13,1659037.71,96193.14,64015.0,132.14
2018-11-14,1674422.86,98718.29,64835.29,117.43
2018-11-15,1679862.71,99802.14,67192.14,147.29
2018-11-16,1665324.57,101305.43,69129.0,147.71
2018-11-17,1674497.43,103064.14,70801.86,148.71
2018-11-18,1669754.29,105831.14,70645.43,147.29
2018-11-19,1657101.14,109734.0,70877.57,144.43
2018-11-20,1643023.86,121000.14,73206.86,145.29
2018-11-21,1621657.86,141769.29,74309.14,147.43
2018-11-22,1612878.43,170036.71,72731.71,117.43
2018-11-23,1608911.43,203302.29,73119.29,115.71
2018-11-24,1606195.43,241614.14,76940.14,114.0
2018-11-25,1614374.43,284734.57,80163.0,120.57
2018-11-26,1626215.86,312133.86,78882.71,128.86
2018-11-27,1614160.29,331592.14,77031.0,128.86
2018-11-28,1596499.43,344644.14,73478.57,116.57
2018-11-29,1580385.71,357702.57,74199.0,116.86
2018-11-30,1553517.29,384634.43,76685.57,117.43
2018-12-01,1522359.29,409682.86,74850.71,118.86
2018-12-02,1484741.86,420101.43,69565.0,112.57
2018-12-03,1443625.29,428462.0,74703.29,102.0
2018-12-04,1457955.0,408135.29,77128.57,100.0
2018-12-05,1496441.86,407850.71,78866.43,117.43
2018-12-06,1539427.0,397826.29,80959.71,122.86
2018-12-07,1608437.29,366999.57,78853.43,122.29
2018-12-08,1672059.57,329496.0,75687.43,121.71
2018-12-09,1664310.71,300495.86,73269.14,118.29
